2026-03-20 17:59:32 | DEBUG    | aiosqlite                 | operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x000001D90F2D93F0>, '\n    CREATE INDEX IF NOT EXISTS idx_orders_created_at\n    ON orders(created_at);\n    ', []) completed
2026-03-20 17:59:32 | DEBUG    | aiosqlite                 | executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x000001D90F2D93F0>)
2026-03-20 17:59:32 | DEBUG    | aiosqlite                 | operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x000001D90F2D93F0>) completed
2026-03-20 17:59:32 | INFO     | database.db               | Database initialised: C:\Users\fffgg\OneDrive\Рабочий стол\freelance\unpacking-tg-bot-eng\data\bot.db
2026-03-20 17:59:32 | INFO     | PostInit                  | Database connected: C:\Users\fffgg\OneDrive\Рабочий стол\freelance\unpacking-tg-bot-eng\data\bot.db
2026-03-20 17:59:32 | DEBUG    | telegram.ext.ExtBot       | Entering: set_my_commands
2026-03-20 17:59:33 | DEBUG    | telegram.ext.ExtBot       | True
2026-03-20 17:59:33 | DEBUG    | telegram.ext.ExtBot       | Exiting: set_my_commands
2026-03-20 17:59:33 | INFO     | PostInit                  | Bot commands registered.
2026-03-20 17:59:33 | DEBUG    | telegram.ext.ExtBot       | Entering: get_me
2026-03-20 17:59:33 | DEBUG    | telegram.ext.ExtBot       | User(api_kwargs={'can_connect_to_business': False, 'has_main_web_app': False, 'has_topics_enabled': False, 'allows_users_to_create_topics': False}, can_join_groups=True, can_read_all_group_messages=False, first_name='My Service Bot', id=8591411527, is_bot=True, supports_inline_queries=False, username='my7service14_bot')
2026-03-20 17:59:33 | DEBUG    | telegram.ext.ExtBot       | Exiting: get_me
2026-03-20 17:59:33 | INFO     | PostInit                  | ============================================================
2026-03-20 17:59:33 | INFO     | PostInit                  |   Bot started: @my7service14_bot (ID: 8591411527)
2026-03-20 17:59:33 | INFO     | PostInit                  |   Environment : production
2026-03-20 17:59:33 | INFO     | PostInit                  |   Database    : C:\Users\fffgg\OneDrive\Рабочий стол\freelance\unpacking-tg-bot-eng\data\bot.db
2026-03-20 17:59:33 | INFO     | PostInit                  |   Log file    : C:\Users\fffgg\OneDrive\Рабочий стол\freelance\unpacking-tg-bot-eng\logs\bot.log
2026-03-20 17:59:33 | INFO     | PostInit                  |   Admin chat  : 7422733657
2026-03-20 17:59:33 | INFO     | PostInit                  | ============================================================
2026-03-20 17:59:33 | DEBUG    | telegram.ext.Updater      | Updater started (polling)
2026-03-20 17:59:33 | DEBUG    | telegram.ext.Updater      | Start network loop retry bootstrap del webhook
2026-03-20 17:59:33 | DEBUG    | telegram.ext.Updater      | Deleting webhook
2026-03-20 17:59:33 | DEBUG    | telegram.ext.Updater      | Dropping pending updates from Telegram server
2026-03-20 17:59:33 | DEBUG    | telegram.ext.ExtBot       | Entering: delete_webhook
2026-03-20 17:59:34 | DEBUG    | telegram.ext.ExtBot       | True
2026-03-20 17:59:34 | DEBUG    | telegram.ext.ExtBot       | Exiting: delete_webhook
2026-03-20 17:59:34 | DEBUG    | telegram.ext.Updater      | Bootstrap done
2026-03-20 17:59:34 | DEBUG    | telegram.ext.Updater      | Waiting for polling to start
2026-03-20 17:59:34 | DEBUG    | telegram.ext.Updater      | Polling updates from Telegram started
2026-03-20 17:59:34 | DEBUG    | telegram.ext.Updater      | Start network loop retry getting Updates
2026-03-20 17:59:34 | DEBUG    | telegram.ext.ExtBot       | Entering: get_updates
2026-03-20 17:59:34 | INFO     | telegram.ext.Application  | Application started
2026-03-20 17:59:47 | DEBUG    | telegram.ext.ExtBot       | No new updates found.
2026-03-20 17:59:47 | DEBUG    | telegram.ext.ExtBot       | ()
2026-03-20 17:59:47 | DEBUG    | telegram.ext.ExtBot       | Exiting: get_updates
2026-03-20 17:59:47 | DEBUG    | telegram.ext.ExtBot       | Entering: get_updates
2026-03-20 17:59:57 | DEBUG    | telegram.ext.ExtBot       | No new updates found.
2026-03-20 17:59:57 | DEBUG    | telegram.ext.ExtBot       | ()
2026-03-20 17:59:57 | DEBUG    | telegram.ext.ExtBot       | Exiting: get_updates
2026-03-20 17:59:57 | DEBUG    | telegram.ext.ExtBot       | Entering: get_updates
2026-03-20 18:00:08 | DEBUG    | telegram.ext.ExtBot       | No new updates found.
2026-03-20 18:00:08 | DEBUG    | telegram.ext.ExtBot       | ()
